time,open,high,low,close
2015-01-12T00:00:00Z,266.34,272.43,152.4,211.85
2015-01-19T00:00:00Z,211.8,257,201.98,255.31
2015-01-26T00:00:00Z,254.67,309.9,208.48,226.93
2015-02-02T00:00:00Z,226.93,244.39,210.43,223.88
2015-02-09T00:00:00Z,223.92,267.92,215,235.63
2015-02-16T00:00:00Z,235.61,249.32,229.2,236.5
2015-02-23T00:00:00Z,236.46,260.25,232.05,258.34
2015-03-02T00:00:00Z,257.95,284.95,255.61,275
2015-03-09T00:00:00Z,275,297.95,274.17,286.75
2015-03-16T00:00:00Z,286.79,294.26,249,267.74
2015-03-23T00:00:00Z,268.28,270.07,236.4,242
2015-03-30T00:00:00Z,242.41,261,236.52,260.54
2015-04-06T00:00:00Z,260.57,262.98,231,236.5
2015-04-13T00:00:00Z,236.42,236.9,210,222.54
2015-04-20T00:00:00Z,222.54,238.64,214.98,219.52
2015-04-27T00:00:00Z,219.52,242.25,217.52,239
2015-05-04T00:00:00Z,239.73,247.01,227.01,239.13
2015-05-11T00:00:00Z,239.13,244.51,232.22,235.97
2015-05-18T00:00:00Z,235.69,241.64,230.86,239.22
2015-05-25T00:00:00Z,239.69,240.1,228,228.91
2015-06-01T00:00:00Z,228.91,231.2,219.03,222.7
2015-06-08T00:00:00Z,222.65,234,222.31,232.09
2015-06-15T00:00:00Z,232.08,257.39,231.55,243.64
2015-06-22T00:00:00Z,243.6,252,238.2,248.62
2015-06-29T00:00:00Z,248.63,274.74,248.3,271.5
2015-07-06T00:00:00Z,271.39,317.99,263.01,310.55
2015-07-13T00:00:00Z,310.55,310.73,272.31,275.47
2015-07-20T00:00:00Z,275.08,294,274.62,293.19
2015-07-27T00:00:00Z,292.85,297.44,276.57,282.32
2015-08-03T00:00:00Z,282.53,285.88,260.41,265.05
2015-08-10T00:00:00Z,265.05,271.5,254.01,256.11
2015-08-17T00:00:00Z,256.11,259.12,221.11,228.89
2015-08-24T00:00:00Z,228.35,235.93,198.12,229
2015-08-31T00:00:00Z,229.04,244.2,224.39,240.28
2015-09-07T00:00:00Z,240.28,246.24,228,229.66
2015-09-14T00:00:00Z,229.66,235,223,230.16
2015-09-21T00:00:00Z,230.1,237.25,223.12,232.41
2015-09-28T00:00:00Z,232.4,240.56,231.69,238.6
2015-10-05T00:00:00Z,238.6,248.5,236.1,248.05
2015-10-12T00:00:00Z,248.05,273,242.82,261.05
2015-10-19T00:00:00Z,260.99,296,259.82,283.96
2015-10-26T00:00:00Z,283.96,334.67,279.25,325.78
2015-11-02T00:00:00Z,325.78,502,320,372.65
2015-11-09T00:00:00Z,372.86,386.79,294,319.28
2015-11-16T00:00:00Z,319.29,350.44,310,324.2
2015-11-23T00:00:00Z,324.2,373.15,316,371.48
2015-11-30T00:00:00Z,371.2,399.85,348.64,388.24
2015-12-07T00:00:00Z,388.54,467.8,381.01,433.07
2015-12-14T00:00:00Z,433.13,466.64,428.42,442.54
2015-12-21T00:00:00Z,442.47,459.54,407.25,421.76
2015-12-28T00:00:00Z,421.78,436,417.01,431.04
2016-01-04T00:00:00Z,431.54,465,426.54,448.79
2016-01-11T00:00:00Z,448.2,451.13,352,380.16
2016-01-18T00:00:00Z,379.94,422.98,372.53,402.16
2016-01-25T00:00:00Z,402.16,402.31,363.73,368.49
2016-02-01T00:00:00Z,368.49,391.88,365,375
2016-02-08T00:00:00Z,375,406.71,369.12,405
2016-02-15T00:00:00Z,405.5,447.99,393.4,438.5
2016-02-22T00:00:00Z,438.33,440,409.07,431.68
2016-02-29T00:00:00Z,430.26,440.99,382,406.23
2016-03-07T00:00:00Z,406.15,421.91,403.03,413.04
2016-03-14T00:00:00Z,412.99,419,403.34,411.28
2016-03-21T00:00:00Z,410.62,419,406.5,416.64
2016-03-28T00:00:00Z,424.62,424.77,407.22,419.11
2016-04-04T00:00:00Z,418.51,423.99,412,418.36
2016-04-11T00:00:00Z,420.4,432.87,377.87,427.42
2016-04-18T00:00:00Z,427.15,470.02,378.98,460.02
2016-04-25T00:00:00Z,460.03,469.87,393.15,453
2016-05-02T00:00:00Z,452.99,463.97,438.59,458.21
2016-05-09T00:00:00Z,457.75,464.79,447.38,457.56
2016-05-16T00:00:00Z,457.56,458,435,438.8
2016-05-23T00:00:00Z,438.72,540,436.4,517.84
2016-05-30T00:00:00Z,517.6,588.71,510.01,573.91
2016-06-06T00:00:00Z,573.8,683.02,563,672.13
2016-06-13T00:00:00Z,668.73,778.85,655,761.44
2016-06-20T00:00:00Z,759.12,763.99,540.17,657.79
2016-06-27T00:00:00Z,630.16,704.99,618.03,658.27
2016-07-04T00:00:00Z,659.77,682.36,605.5,648.76
2016-07-11T00:00:00Z,648.77,684.19,639.31,679.54
2016-07-18T00:00:00Z,679.54,682.21,645,661.47
2016-07-25T00:00:00Z,659.64,661.99,614.97,623.83
2016-08-01T00:00:00Z,622.5,630,465.28,592.47
2016-08-08T00:00:00Z,592.47,603,556.24,568.76
2016-08-15T00:00:00Z,568.76,583.99,552.3,577.55
2016-08-22T00:00:00Z,577.55,585.95,564.81,573.2
2016-08-29T00:00:00Z,573.2,609.05,566.86,603.72
2016-09-05T00:00:00Z,605.72,628.99,592.46,606.32
2016-09-12T00:00:00Z,604.08,610.69,601.1,608
2016-09-19T00:00:00Z,608,609.5,592.1,598.98
2016-09-26T00:00:00Z,598.95,614.28,596.1,608.6
2016-10-03T00:00:00Z,608.6,616.99,604.99,613.06
2016-10-10T00:00:00Z,612.12,642,612.12,638.97
2016-10-17T00:00:00Z,638.97,656,624.13,648.74
2016-10-24T00:00:00Z,648.71,717.99,640,697.23
2016-10-31T00:00:00Z,697.1,745.19,670.32,709.93
2016-11-07T00:00:00Z,709.92,740.86,683.23,700.38
2016-11-14T00:00:00Z,700.38,755.07,697.14,727.09
2016-11-21T00:00:00Z,727.09,750,722.3,727.32
2016-11-28T00:00:00Z,727.32,778.07,721,762
2016-12-05T00:00:00Z,762,774.12,743,768.97
2016-12-12T00:00:00Z,768.97,793.27,765.1,788.67
2016-12-19T00:00:00Z,788.34,920,787.01,890.67
2016-12-26T00:00:00Z,890.65,1005,888,997.75
2017-01-02T00:00:00Z,997.75,1139.89,812.28,909.75
2017-01-09T00:00:00Z,909.8,918.4,751.34,821.86
2017-01-16T00:00:00Z,821.86,937.74,818.09,923.76
2017-01-23T00:00:00Z,923.75,927.57,881.48,912.01
2017-01-30T00:00:00Z,913.12,1044.23,910,1011.07
2017-02-06T00:00:00Z,1010.03,1074.69,913.73,1000.73
2017-02-13T00:00:00Z,1000.73,1068.99,975.1,1051.8
2017-02-20T00:00:00Z,1051.8,1220,1044.39,1179.05
2017-02-27T00:00:00Z,1180.46,1298,1169,1273
2017-03-06T00:00:00Z,1269.98,1350,975,1226.62
2017-03-13T00:00:00Z,1226.42,1260,944.36,1017.97
2017-03-20T00:00:00Z,1012.88,1117.9,891.33,960
2017-03-27T00:00:00Z,959.08,1100,952.95,1078.01
2017-04-03T00:00:00Z,1076.59,1216.87,1076.19,1206.2
2017-04-10T00:00:00Z,1205.2,1229,1141,1162.31
2017-04-17T00:00:00Z,1162.31,1252.32,1161,1241.99
2017-04-24T00:00:00Z,1242,1356,1234,1350.21
2017-05-01T00:00:00Z,1348.88,1623.01,1341.22,1554.01
2017-05-08T00:00:00Z,1554.38,1892,1554.38,1784
2017-05-15T00:00:00Z,1782.3,2063.11,1641.22,2017.55
2017-05-22T00:00:00Z,2017.55,2760.1,1850,2178.81
2017-05-29T00:00:00Z,2172.54,2584.34,2110,2530.27
2017-06-05T00:00:00Z,2530.27,2967.46,2525.28,2954.22
2017-06-12T00:00:00Z,2954.23,2980,2120,2516.98
2017-06-19T00:00:00Z,2516.98,2789,2432,2502.03
2017-06-26T00:00:00Z,2502.26,2594.78,2291,2504.37
2017-07-03T00:00:00Z,2504.81,2639.47,2462,2502.28
2017-07-10T00:00:00Z,2504,2527.88,1830,1917.63
2017-07-17T00:00:00Z,1917.72,2938,1910.57,2749.02
2017-07-24T00:00:00Z,2756.8,2825,2400,2742.37
2017-07-31T00:00:00Z,2745.76,3339.66,2615,3222.75
2017-08-07T00:00:00Z,3216.78,4190,3178.72,4053.87
2017-08-14T00:00:00Z,4053.87,4480,3800,4058.68
2017-08-21T00:00:00Z,4058.64,4449.98,3600,4337.68
2017-08-28T00:00:00Z,4329.91,4979.9,4169.01,4606.26
2017-09-04T00:00:00Z,4603.68,4679.97,4001.93,4226.22
2017-09-11T00:00:00Z,4226.21,4377.65,2972.01,3662.99
2017-09-18T00:00:00Z,3662.95,4122.7,3514,3664.22
2017-09-25T00:00:00Z,3667.01,4377.22,3658.39,4377.22
2017-10-02T00:00:00Z,4369.33,4612,4137.96,4597.98
2017-10-09T00:00:00Z,4597.97,5846.43,4541,5679.7
2017-10-16T00:00:00Z,5683.92,6180,5101.36,5969
2017-10-23T00:00:00Z,5967.38,6316.85,5366,6137.37
2017-10-30T00:00:00Z,6133.01,7590,6024.03,7372.72
2017-11-06T00:00:00Z,7373.3,7888,5555.55,5870.37
2017-11-13T00:00:00Z,5870.03,8087.35,5846,8016.58
2017-11-20T00:00:00Z,8016.58,9366.6,7770,9271.06
2017-11-27T00:00:00Z,9278.99,11800.01,9000,11250
2017-12-04T00:00:00Z,11250,16666.66,10850,14691
2017-12-11T00:00:00Z,14690.99,19666,14677.19,18953
2017-12-18T00:00:00Z,18953,19220,11159.93,14157.87
2017-12-25T00:00:00Z,14107.87,16480.52,12050,13880
2018-01-01T00:00:00Z,13880,17234.99,12801.38,16124.02
2018-01-08T00:00:00Z,16173.98,16300,12800,13647.99
2018-01-15T00:00:00Z,13647.99,14394.36,9222,11558.87
2018-01-22T00:00:00Z,11558.87,11989.15,9927.54,11685.58
2018-01-29T00:00:00Z,11685.58,11820.01,7625.25,8191
2018-02-05T00:00:00Z,8190.78,9090.8,5920.72,8067
2018-02-12T00:00:00Z,8077.25,11300,8067,10421.06
2018-02-19T00:00:00Z,10433.68,11780,9260,9590.04
2018-02-26T00:00:00Z,9595.99,11511,9376.34,11463.27
2018-03-05T00:00:00Z,11479.68,11688,8366,9535.04
2018-03-12T00:00:00Z,9535.04,9892,7325.37,8188.24
2018-03-19T00:00:00Z,8205.55,9188.1,8114.17,8453.9
2018-03-26T00:00:00Z,8451.12,8500,6427.16,6813.52
2018-04-02T00:00:00Z,6816.31,7506.84,6510,7027.26
2018-04-09T00:00:00Z,7027.26,8417,6611.49,8354.22
2018-04-16T00:00:00Z,8353.43,9036.52,7806.81,8789.96
2018-04-23T00:00:00Z,8781.7,9755.53,8647.29,9393.99
2018-04-30T00:00:00Z,9396.32,9948.98,8815.91,9623.54
2018-05-07T00:00:00Z,9621.99,9634.5,8208.81,8696.58
2018-05-14T00:00:00Z,8696.54,8900.9,7929.53,8518.48
2018-05-21T00:00:00Z,8518.64,8589.1,7213.09,7347.39
2018-05-28T00:00:00Z,7348.64,7790.69,7026.9,7703.67
2018-06-04T00:00:00Z,7712.97,7764.44,6627.7,6781.17
2018-06-11T00:00:00Z,6781.17,6919.97,6120,6453.41
2018-06-18T00:00:00Z,6451.03,6841.81,5780,6153.4
2018-06-25T00:00:00Z,6153.6,6510,5774.72,6349.99
2018-07-02T00:00:00Z,6345.48,6820,6270.69,6706.6
2018-07-09T00:00:00Z,6706.6,6814.72,6072,6349.3
2018-07-16T00:00:00Z,6353.25,7696.88,6333.63,7396.6
2018-07-23T00:00:00Z,7393.5,8496.96,7369.86,8216.74
2018-07-30T00:00:00Z,8216.74,8295,6888.88,7032.61
2018-08-06T00:00:00Z,7028.89,7157.93,5995.75,6310.82
2018-08-13T00:00:00Z,6311.99,6628.5,5880,6481.99
2018-08-20T00:00:00Z,6481.63,6906.81,6223.9,6700.46
2018-08-27T00:00:00Z,6700.13,7334.5,6641.35,7290.31
2018-09-03T00:00:00Z,7291.94,7411.85,6094.38,6236.04
2018-09-10T00:00:00Z,6238.99,6587,6162.06,6499.98
